N,res1,res2
100,0.9722135955,0.9625
600,0.9560100356,0.925
1100,1.069434955,0.9636363636
1600,0.9418319206,0.953125
2100,0.9305472985,0.9178571429
2600,0.878731519,0.9403846154
3100,0.9094901377,0.9459677419
3600,0.858788676,0.9402777778
4100,0.9081897734,0.943902439
4600,0.9489650095,0.9635869565
5100,0.9245560663,0.937745098
5600,0.9617970213,0.9419642857
6100,0.9754011811,0.9491803279
6600,0.9103454576,0.9409090909
7100,0.9215489433,0.9424295775
7600,0.9108106316,0.9404605263
8100,0.9590106948,0.9418209877
8600,0.9089066637,0.9382267442
9100,0.9465727974,0.9421703297
9600,0.9479082556,0.9489583333
10100,0.9664380692,0.9430693069
10600,0.9511183948,0.9449292453
11100,0.9310477946,0.9522522523
11600,0.9252791461,0.9410560345
12100,0.9392708208,0.9515495868
12600,0.9313188966,0.9479166667
13100,0.9618235265,0.9510496183
13600,0.9757879102,0.9463235294
14100,0.9756611614,0.9470744681
14600,0.9748771944,0.9404109589
15100,0.9438841927,0.9346854305
15600,0.9211100604,0.9427083333
16100,0.9631557049,0.9445652174
16600,0.9569861536,0.9532379518
17100,0.9523144868,0.9520467836
17600,0.9572989551,0.9462357955
18100,0.949653943,0.95
18600,0.9471242124,0.9431451613
19100,0.9055329772,0.9437827225
19600,0.9414599001,0.9475127551
20100,0.9238447599,0.9461442786
20600,0.9566393,0.9432038835
21100,0.9957125971,0.9424763033
21600,0.9848163643,0.9434027778
22100,0.9115052352,0.9425339367
22600,0.9984547589,0.9476216814
23100,0.9570622148,0.9404761905
23600,0.9376093828,0.9481461864
24100,0.9948044508,0.9477178423
24600,0.9635190024,0.9492886179
25100,0.9338673222,0.9476593625
25600,0.9156277261,0.9424316406
26100,0.980780995,0.9451149425
26600,0.9305472985,0.948825188
27100,0.9560698273,0.9458487085
27600,0.9415677322,0.9411231884
28100,0.9379612304,0.9439501779
28600,0.9015071522,0.9432255245
29100,0.9421451338,0.9410652921
29600,0.9649876836,0.944214527
30100,0.949603977,0.9444352159
30600,0.9178840122,0.94375
31100,0.9184448693,0.9426446945
31600,0.9436009802,0.9438291139
32100,0.9298117564,0.9484423676
32600,0.9558112189,0.9435582822
33100,0.9431353037,0.9431646526
33600,0.9273644564,0.94375
34100,0.9556774112,0.9448313783
34600,0.9171402242,0.9436777457
35100,0.9489469454,0.9467592593
35600,0.9539163172,0.9464185393
36100,0.928854485,0.9477839335
36600,0.9164308482,0.9447745902
37100,0.9460083773,0.9404649596
37600,0.9393755299,0.9468085106
38100,0.9428685657,0.9478674541
