size,t5,t10,t20,t30,t50
500,0.018000,0.016000,0.013000,0.013000,0.011000
600,0.021000,0.019000,0.015000,0.015000,0.013000
700,0.027000,0.025000,0.022000,0.018000,0.022000
800,0.032000,0.029000,0.024000,0.020000,0.017000
900,0.040000,0.032000,0.027000,0.023000,0.023000
1000,0.071000,0.036000,0.031000,0.030000,0.026000
1100,0.044000,0.039000,0.034000,0.033000,0.028000
1200,0.051000,0.042000,0.036000,0.036000,0.031000
1300,0.055000,0.049000,0.042000,0.039000,0.035000
1400,0.062000,0.058000,0.049000,0.043000,0.037000
1500,0.067000,0.063000,0.054000,0.045000,0.040000
1600,0.072000,0.065000,0.056000,0.049000,0.042000
1700,0.077000,0.069000,0.061000,0.051000,0.052000
1800,0.082000,0.074000,0.064000,0.056000,0.055000
1900,0.096000,0.077000,0.067000,0.058000,0.057000
2000,0.091000,0.091000,0.071000,0.070000,0.061000
2100,0.095000,0.088000,0.073000,0.073000,0.064000
2200,0.102000,0.089000,0.076000,0.076000,0.066000
2300,0.102000,0.093000,0.081000,0.080000,0.074000
2400,0.107000,0.097000,0.083000,0.083000,0.071000
2500,0.113000,0.099000,0.086000,0.085000,0.074000
2600,0.117000,0.105000,0.093000,0.089000,0.078000
2700,0.125000,0.132000,0.107000,0.095000,0.083000
2800,0.132000,0.123000,0.110000,0.095000,0.083000
2900,0.141000,0.132000,0.112000,0.099000,0.087000
3000,0.147000,0.139000,0.118000,0.103000,0.089000
3100,0.152000,0.140000,0.120000,0.104000,0.116000
3200,0.161000,0.176000,0.125000,0.109000,0.098000
3300,0.161000,0.146000,0.128000,0.112000,0.115000
3400,0.169000,0.153000,0.132000,0.116000,0.115000
3500,0.171000,0.158000,0.136000,0.117000,0.121000
3600,0.176000,0.163000,0.139000,0.123000,0.127000
3700,0.182000,0.164000,0.145000,0.125000,0.125000
3800,0.189000,0.170000,0.149000,0.131000,0.128000
3900,0.191000,0.174000,0.150000,0.142000,0.134000
4000,0.196000,0.178000,0.154000,0.154000,0.137000
4100,0.201000,0.181000,0.160000,0.159000,0.140000
4200,0.208000,0.186000,0.162000,0.175000,0.141000
4300,0.214000,0.193000,0.163000,0.163000,0.145000
4400,0.214000,0.193000,0.168000,0.167000,0.149000
4500,0.220000,0.197000,0.173000,0.173000,0.154000
