size,t5,t10,t20,t30,t50
500,0.032000,0.029000,0.028000,0.028000,0.031000
600,0.039000,0.038000,0.037000,0.034000,0.035000
700,0.050000,0.046000,0.044000,0.042000,0.044000
800,0.061000,0.058000,0.058000,0.051000,0.062000
900,0.068000,0.064000,0.061000,0.061000,0.064000
1000,0.107000,0.076000,0.070000,0.067000,0.071000
1100,0.089000,0.084000,0.079000,0.081000,0.080000
1200,0.097000,0.091000,0.088000,0.087000,0.090000
1300,0.108000,0.104000,0.104000,0.101000,0.099000
1400,0.120000,0.115000,0.109000,0.112000,0.119000
1500,0.142000,0.127000,0.118000,0.115000,0.121000
1600,0.140000,0.135000,0.127000,0.125000,0.132000
1700,0.151000,0.145000,0.135000,0.135000,0.143000
1800,0.162000,0.152000,0.147000,0.154000,0.156000
1900,0.173000,0.163000,0.164000,0.168000,0.165000
2000,0.183000,0.176000,0.171000,0.171000,0.176000
2100,0.193000,0.183000,0.175000,0.179000,0.174000
2200,0.201000,0.191000,0.188000,0.188000,0.198000
2300,0.211000,0.200000,0.201000,0.195000,0.195000
2400,0.224000,0.209000,0.203000,0.201000,0.206000
2500,0.233000,0.219000,0.211000,0.211000,0.216000
2600,0.242000,0.230000,0.224000,0.219000,0.232000
2700,0.273000,0.244000,0.232000,0.230000,0.237000
2800,0.296000,0.264000,0.247000,0.242000,0.247000
2900,0.289000,0.275000,0.254000,0.249000,0.282000
3000,0.293000,0.280000,0.270000,0.258000,0.273000
3100,0.311000,0.290000,0.283000,0.283000,0.285000
3200,0.312000,0.299000,0.317000,0.281000,0.295000
3300,0.328000,0.308000,0.294000,0.308000,0.289000
3400,0.335000,0.320000,0.311000,0.331000,0.301000
3500,0.349000,0.332000,0.319000,0.319000,0.310000
3600,0.357000,0.340000,0.333000,0.344000,0.435000
3700,0.456000,0.355000,0.400000,0.331000,0.341000
3800,0.386000,0.363000,0.346000,0.342000,0.365000
3900,0.390000,0.372000,0.361000,0.369000,0.374000
4000,0.402000,0.378000,0.366000,0.378000,0.369000
4100,0.409000,0.392000,0.387000,0.371000,0.370000
4200,0.447000,0.405000,0.382000,0.383000,0.534000
4300,0.431000,0.420000,0.398000,0.395000,0.427000
4400,0.445000,0.416000,0.424000,0.402000,0.406000
4500,0.456000,0.430000,0.414000,0.414000,0.421000
4600,0.467000,0.493000,0.431000,0.436000,0.433000
4700,0.482000,0.524000,0.445000,0.444000,0.443000
4800,0.489000,0.466000,0.448000,0.443000,0.473000
4900,0.503000,0.477000,0.452000,0.450000,0.486000
5000,0.511000,0.481000,0.473000,0.465000,0.475000
5100,0.523000,0.499000,0.482000,0.476000,0.493000
5200,0.535000,0.511000,0.501000,0.489000,0.501000
5300,0.549000,0.533000,0.509000,0.500000,0.556000
5400,0.632000,0.549000,0.531000,0.508000,0.524000
5500,0.581000,0.564000,0.546000,0.547000,0.543000
5600,0.594000,0.582000,0.561000,0.536000,0.593000
5700,0.701000,0.751000,0.560000,0.632000,0.755000
5800,0.618000,0.608000,0.566000,0.554000,0.572000
5900,0.626000,0.609000,0.582000,0.564000,0.583000
6000,0.644000,0.612000,0.588000,0.601000,0.620000
6100,0.662000,0.630000,0.598000,0.589000,0.615000
6200,0.670000,0.635000,0.610000,0.622000,0.624000
6300,0.688000,0.647000,0.617000,0.608000,0.687000
6400,0.690000,0.667000,0.641000,0.623000,0.653000
6500,0.707000,0.670000,0.646000,0.666000,0.638000
6600,0.719000,0.681000,0.656000,0.645000,0.657000
6700,0.730000,0.693000,0.674000,0.653000,0.677000
6800,1.046000,0.719000,0.682000,0.682000,0.696000
6900,0.750000,0.719000,0.690000,0.678000,0.683000
7000,0.762000,0.728000,0.700000,0.689000,0.729000
7100,0.779000,0.740000,0.717000,0.702000,0.724000
7200,0.795000,0.745000,0.947000,0.721000,0.710000
7300,0.800000,0.766000,0.737000,0.722000,0.725000
7400,0.813000,0.775000,0.756000,0.745000,0.734000
7500,0.818000,0.794000,0.750000,0.746000,0.746000
7600,0.826000,0.872000,0.764000,0.758000,0.799000
7700,0.844000,0.806000,0.793000,0.794000,0.809000
7800,0.860000,0.817000,0.803000,0.766000,0.782000
7900,0.872000,0.863000,0.790000,0.820000,0.818000
8000,0.877000,0.836000,0.806000,0.805000,0.806000
8100,0.898000,0.854000,0.835000,0.811000,0.812000
8200,0.899000,0.867000,0.823000,0.865000,0.878000
8300,0.908000,0.922000,0.889000,0.846000,0.845000
8400,0.918000,0.883000,0.851000,0.862000,0.872000
8500,0.937000,0.891000,0.876000,0.856000,0.878000
8600,0.945000,0.916000,0.894000,0.900000,0.881000
8700,0.985000,0.974000,0.884000,0.882000,0.939000
8800,0.994000,0.937000,0.923000,0.903000,0.897000
8900,0.988000,0.940000,0.918000,0.935000,0.916000
9000,1.000000,0.956000,0.958000,0.950000,0.941000
9100,1.013000,0.974000,0.924000,0.965000,0.940000
9200,1.034000,0.978000,0.943000,0.959000,0.954000
9300,1.038000,0.980000,0.976000,0.952000,1.022000
9400,1.040000,1.012000,1.027000,0.972000,1.020000
