size,type,threshold,time
500,random,5,82
500,reversed,5,46
500,almost_sorted,5,47
500,random,10,81
500,reversed,10,48
500,almost_sorted,10,43
500,random,15,80
500,reversed,15,49
500,almost_sorted,15,39
500,random,20,73
500,reversed,20,54
500,almost_sorted,20,34
500,random,25,71
500,reversed,25,61
500,almost_sorted,25,35
500,random,30,75
500,reversed,30,62
500,almost_sorted,30,34
500,random,35,70
500,reversed,35,71
500,almost_sorted,35,25
500,random,40,60
500,reversed,40,63
500,almost_sorted,40,22
500,random,45,56
500,reversed,45,57
500,almost_sorted,45,21
500,random,50,54
500,reversed,50,55
500,almost_sorted,50,20
600,random,5,74
600,reversed,5,40
600,almost_sorted,5,43
600,random,10,66
600,reversed,10,43
600,almost_sorted,10,30
600,random,15,59
600,reversed,15,32
600,almost_sorted,15,27
600,random,20,50
600,reversed,20,39
600,almost_sorted,20,30
600,random,25,67
600,reversed,25,61
600,almost_sorted,25,29
600,random,30,65
600,reversed,30,55
600,almost_sorted,30,27
600,random,35,56
600,reversed,35,52
600,almost_sorted,35,26
600,random,40,60
600,reversed,40,63
600,almost_sorted,40,20
600,random,45,55
600,reversed,45,59
600,almost_sorted,45,19
600,random,50,47
600,reversed,50,51
600,almost_sorted,50,17
700,random,5,65
700,reversed,5,31
700,almost_sorted,5,32
700,random,10,61
700,reversed,10,32
700,almost_sorted,10,30
700,random,15,56
700,reversed,15,37
700,almost_sorted,15,26
700,random,20,56
700,reversed,20,75
700,almost_sorted,20,39
700,random,25,83
700,reversed,25,69
700,almost_sorted,25,30
700,random,30,73
700,reversed,30,61
700,almost_sorted,30,28
700,random,35,69
700,reversed,35,56
700,almost_sorted,35,26
700,random,40,64
700,reversed,40,46
700,almost_sorted,40,24
700,random,45,62
700,reversed,45,59
700,almost_sorted,45,19
700,random,50,55
700,reversed,50,59
700,almost_sorted,50,18
800,random,5,76
800,reversed,5,39
800,almost_sorted,5,39
800,random,10,162
800,reversed,10,93
800,almost_sorted,10,115
800,random,15,179
800,reversed,15,99
800,almost_sorted,15,70
800,random,20,67
800,reversed,20,43
800,almost_sorted,20,31
800,random,25,65
800,reversed,25,55
800,almost_sorted,25,24
800,random,30,65
800,reversed,30,50
800,almost_sorted,30,24
800,random,35,59
800,reversed,35,50
800,almost_sorted,35,24
800,random,40,58
800,reversed,40,101
800,almost_sorted,40,24
800,random,45,161
800,reversed,45,126
800,almost_sorted,45,23
800,random,50,65
800,reversed,50,74
800,almost_sorted,50,20
900,random,5,91
900,reversed,5,48
900,almost_sorted,5,49
900,random,10,85
900,reversed,10,41
900,almost_sorted,10,38
900,random,15,73
900,reversed,15,47
900,almost_sorted,15,32
900,random,20,72
900,reversed,20,47
900,almost_sorted,20,32
900,random,25,112
900,reversed,25,68
900,almost_sorted,25,46
900,random,30,103
900,reversed,30,85
900,almost_sorted,30,34
900,random,35,93
900,reversed,35,73
900,almost_sorted,35,32
900,random,40,87
900,reversed,40,72
900,almost_sorted,40,46
900,random,45,78
900,reversed,45,66
900,almost_sorted,45,26
900,random,50,70
900,reversed,50,60
900,almost_sorted,50,26
1000,random,5,94
1000,reversed,5,47
1000,almost_sorted,5,47
1000,random,10,92
1000,reversed,10,53
1000,almost_sorted,10,44
1000,random,15,90
1000,reversed,15,56
1000,almost_sorted,15,41
1000,random,20,87
1000,reversed,20,61
1000,almost_sorted,20,36
1000,random,25,86
1000,reversed,25,53
1000,almost_sorted,25,34
1000,random,30,82
1000,reversed,30,53
1000,almost_sorted,30,35
1000,random,35,83
1000,reversed,35,69
1000,almost_sorted,35,29
1000,random,40,83
1000,reversed,40,69
1000,almost_sorted,40,29
1000,random,45,82
1000,reversed,45,69
1000,almost_sorted,45,29
1000,random,50,82
1000,reversed,50,70
1000,almost_sorted,50,30
1100,random,5,106
1100,reversed,5,52
1100,almost_sorted,5,51
1100,random,10,101
1100,reversed,10,60
1100,almost_sorted,10,46
1100,random,15,97
1100,reversed,15,52
1100,almost_sorted,15,45
1100,random,20,155
1100,reversed,20,69
1100,almost_sorted,20,39
1100,random,25,92
1100,reversed,25,141
1100,almost_sorted,25,40
1100,random,30,93
1100,reversed,30,64
1100,almost_sorted,30,40
1100,random,35,97
1100,reversed,35,84
1100,almost_sorted,35,33
1100,random,40,95
1100,reversed,40,87
1100,almost_sorted,40,35
1100,random,45,99
1100,reversed,45,82
1100,almost_sorted,45,32
1100,random,50,94
1100,reversed,50,84
1100,almost_sorted,50,32
1200,random,5,117
1200,reversed,5,71
1200,almost_sorted,5,68
1200,random,10,111
1200,reversed,10,75
1200,almost_sorted,10,51
1200,random,15,111
1200,reversed,15,60
1200,almost_sorted,15,50
1200,random,20,104
1200,reversed,20,70
1200,almost_sorted,20,66
1200,random,25,108
1200,reversed,25,77
1200,almost_sorted,25,43
1200,random,30,108
1200,reversed,30,77
1200,almost_sorted,30,42
1200,random,35,101
1200,reversed,35,80
1200,almost_sorted,35,43
1200,random,40,112
1200,reversed,40,95
1200,almost_sorted,40,36
1200,random,45,109
1200,reversed,45,100
1200,almost_sorted,45,35
1200,random,50,104
1200,reversed,50,94
1200,almost_sorted,50,35
1300,random,5,217
1300,reversed,5,88
1300,almost_sorted,5,81
1300,random,10,164
1300,reversed,10,83
1300,almost_sorted,10,59
1300,random,15,135
1300,reversed,15,105
1300,almost_sorted,15,123
1300,random,20,197
1300,reversed,20,101
1300,almost_sorted,20,61
1300,random,25,139
1300,reversed,25,95
1300,almost_sorted,25,49
1300,random,30,126
1300,reversed,30,83
1300,almost_sorted,30,43
1300,random,35,114
1300,reversed,35,86
1300,almost_sorted,35,45
1300,random,40,116
1300,reversed,40,88
1300,almost_sorted,40,42
1300,random,45,117
1300,reversed,45,107
1300,almost_sorted,45,37
1300,random,50,115
1300,reversed,50,106
1300,almost_sorted,50,37
1400,random,5,140
1400,reversed,5,67
1400,almost_sorted,5,69
1400,random,10,190
1400,reversed,10,123
1400,almost_sorted,10,114
1400,random,15,226
1400,reversed,15,120
1400,almost_sorted,15,92
1400,random,20,200
1400,reversed,20,96
1400,almost_sorted,20,79
1400,random,25,159
1400,reversed,25,103
1400,almost_sorted,25,57
1400,random,30,144
1400,reversed,30,106
1400,almost_sorted,30,51
1400,random,35,127
1400,reversed,35,96
1400,almost_sorted,35,48
1400,random,40,127
1400,reversed,40,95
1400,almost_sorted,40,48
1400,random,45,132
1400,reversed,45,249
1400,almost_sorted,45,76
1400,random,50,232
1400,reversed,50,291
1400,almost_sorted,50,107
1500,random,5,184
1500,reversed,5,96
1500,almost_sorted,5,78
1500,random,10,147
1500,reversed,10,73
1500,almost_sorted,10,72
1500,random,15,137
1500,reversed,15,78
1500,almost_sorted,15,60
1500,random,20,138
1500,reversed,20,101
1500,almost_sorted,20,69
1500,random,25,140
1500,reversed,25,104
1500,almost_sorted,25,52
1500,random,30,137
1500,reversed,30,107
1500,almost_sorted,30,52
1500,random,35,138
1500,reversed,35,321
1500,almost_sorted,35,87
1500,random,40,348
1500,reversed,40,288
1500,almost_sorted,40,160
1500,random,45,371
1500,reversed,45,241
1500,almost_sorted,45,117
1500,random,50,311
1500,reversed,50,311
1500,almost_sorted,50,99
1600,random,5,371
1600,reversed,5,182
1600,almost_sorted,5,166
1600,random,10,287
1600,reversed,10,138
1600,almost_sorted,10,113
1600,random,15,209
1600,reversed,15,125
1600,almost_sorted,15,79
1600,random,20,174
1600,reversed,20,95
1600,almost_sorted,20,65
1600,random,25,146
1600,reversed,25,107
1600,almost_sorted,25,56
1600,random,30,145
1600,reversed,30,108
1600,almost_sorted,30,57
1600,random,35,158
1600,reversed,35,119
1600,almost_sorted,35,56
1600,random,40,144
1600,reversed,40,105
1600,almost_sorted,40,55
1600,random,45,147
1600,reversed,45,114
1600,almost_sorted,45,55
1600,random,50,151
1600,reversed,50,149
1600,almost_sorted,50,47
1700,random,5,207
1700,reversed,5,125
1700,almost_sorted,5,89
1700,random,10,167
1700,reversed,10,86
1700,almost_sorted,10,80
1700,random,15,159
1700,reversed,15,102
1700,almost_sorted,15,150
1700,random,20,365
1700,reversed,20,224
1700,almost_sorted,20,157
1700,random,25,328
1700,reversed,25,178
1700,almost_sorted,25,125
1700,random,30,271
1700,reversed,30,191
1700,almost_sorted,30,86
1700,random,35,212
1700,reversed,35,149
1700,almost_sorted,35,71
1700,random,40,181
1700,reversed,40,123
1700,almost_sorted,40,59
1700,random,45,154
1700,reversed,45,116
1700,almost_sorted,45,58
1700,random,50,353
1700,reversed,50,272
1700,almost_sorted,50,133
1800,random,5,189
1800,reversed,5,94
1800,almost_sorted,5,90
1800,random,10,192
1800,reversed,10,91
1800,almost_sorted,10,86
1800,random,15,169
1800,reversed,15,108
1800,almost_sorted,15,73
1800,random,20,170
1800,reversed,20,102
1800,almost_sorted,20,72
1800,random,25,167
1800,reversed,25,102
1800,almost_sorted,25,70
1800,random,30,371
1800,reversed,30,306
1800,almost_sorted,30,138
1800,random,35,368
1800,reversed,35,132
1800,almost_sorted,35,98
1800,random,40,189
1800,reversed,40,191
1800,almost_sorted,40,98
1800,random,45,167
1800,reversed,45,135
1800,almost_sorted,45,63
1800,random,50,171
1800,reversed,50,138
1800,almost_sorted,50,62
1900,random,5,434
1900,reversed,5,94
1900,almost_sorted,5,99
1900,random,10,192
1900,reversed,10,94
1900,almost_sorted,10,87
1900,random,15,181
1900,reversed,15,120
1900,almost_sorted,15,77
1900,random,20,183
1900,reversed,20,107
1900,almost_sorted,20,76
1900,random,25,177
1900,reversed,25,107
1900,almost_sorted,25,77
1900,random,30,193
1900,reversed,30,393
1900,almost_sorted,30,174
1900,random,35,414
1900,reversed,35,338
1900,almost_sorted,35,150
1900,random,40,394
1900,reversed,40,302
1900,almost_sorted,40,138
1900,random,45,340
1900,reversed,45,215
1900,almost_sorted,45,74
1900,random,50,192
1900,reversed,50,142
1900,almost_sorted,50,65
2000,random,5,213
2000,reversed,5,102
2000,almost_sorted,5,105
2000,random,10,200
2000,reversed,10,102
2000,almost_sorted,10,94
2000,random,15,194
2000,reversed,15,105
2000,almost_sorted,15,91
2000,random,20,195
2000,reversed,20,131
2000,almost_sorted,20,80
2000,random,25,188
2000,reversed,25,123
2000,almost_sorted,25,80
2000,random,30,188
2000,reversed,30,115
2000,almost_sorted,30,80
2000,random,35,190
2000,reversed,35,148
2000,almost_sorted,35,69
2000,random,40,189
2000,reversed,40,146
2000,almost_sorted,40,68
2000,random,45,189
2000,reversed,45,149
2000,almost_sorted,45,69
2000,random,50,190
2000,reversed,50,147
2000,almost_sorted,50,69
2100,random,5,218
2100,reversed,5,102
2100,almost_sorted,5,107
2100,random,10,213
2100,reversed,10,120
2100,almost_sorted,10,100
2100,random,15,210
2100,reversed,15,106
2100,almost_sorted,15,98
2100,random,20,206
2100,reversed,20,142
2100,almost_sorted,20,87
2100,random,25,200
2100,reversed,25,123
2100,almost_sorted,25,85
2100,random,30,200
2100,reversed,30,122
2100,almost_sorted,30,84
2100,random,35,202
2100,reversed,35,158
2100,almost_sorted,35,73
2100,random,40,199
2100,reversed,40,160
2100,almost_sorted,40,73
2100,random,45,200
2100,reversed,45,160
2100,almost_sorted,45,72
2100,random,50,199
2100,reversed,50,166
2100,almost_sorted,50,73
2200,random,5,233
2200,reversed,5,110
2200,almost_sorted,5,117
2200,random,10,220
2200,reversed,10,112
2200,almost_sorted,10,101
2200,random,15,221
2200,reversed,15,113
2200,almost_sorted,15,100
2200,random,20,211
2200,reversed,20,146
2200,almost_sorted,20,89
2200,random,25,214
2200,reversed,25,145
2200,almost_sorted,25,88
2200,random,30,214
2200,reversed,30,131
2200,almost_sorted,30,87
2200,random,35,211
2200,reversed,35,171
2200,almost_sorted,35,76
2200,random,40,212
2200,reversed,40,172
2200,almost_sorted,40,76
2200,random,45,212
2200,reversed,45,172
2200,almost_sorted,45,81
2200,random,50,214
2200,reversed,50,218
2200,almost_sorted,50,207
2300,random,5,469
2300,reversed,5,180
2300,almost_sorted,5,170
2300,random,10,283
2300,reversed,10,135
2300,almost_sorted,10,112
2300,random,15,233
2300,reversed,15,135
2300,almost_sorted,15,109
2300,random,20,221
2300,reversed,20,139
2300,almost_sorted,20,92
2300,random,25,222
2300,reversed,25,143
2300,almost_sorted,25,90
2300,random,30,222
2300,reversed,30,146
2300,almost_sorted,30,92
2300,random,35,225
2300,reversed,35,142
2300,almost_sorted,35,90
2300,random,40,235
2300,reversed,40,199
2300,almost_sorted,40,81
2300,random,45,225
2300,reversed,45,183
2300,almost_sorted,45,78
2300,random,50,229
2300,reversed,50,197
2300,almost_sorted,50,80
2400,random,5,261
2400,reversed,5,118
2400,almost_sorted,5,251
2400,random,10,561
2400,reversed,10,260
2400,almost_sorted,10,204
2400,random,15,430
2400,reversed,15,206
2400,almost_sorted,15,169
2400,random,20,313
2400,reversed,20,175
2400,almost_sorted,20,108
2400,random,25,233
2400,reversed,25,169
2400,almost_sorted,25,96
2400,random,30,235
2400,reversed,30,149
2400,almost_sorted,30,95
2400,random,35,234
2400,reversed,35,161
2400,almost_sorted,35,96
2400,random,40,239
2400,reversed,40,216
2400,almost_sorted,40,83
2400,random,45,238
2400,reversed,45,196
2400,almost_sorted,45,83
2400,random,50,237
2400,reversed,50,198
2400,almost_sorted,50,85
2500,random,5,271
2500,reversed,5,129
2500,almost_sorted,5,131
2500,random,10,253
2500,reversed,10,133
2500,almost_sorted,10,113
2500,random,15,255
2500,reversed,15,147
2500,almost_sorted,15,114
2500,random,20,244
2500,reversed,20,157
2500,almost_sorted,20,98
2500,random,25,252
2500,reversed,25,156
2500,almost_sorted,25,99
2500,random,30,249
2500,reversed,30,162
2500,almost_sorted,30,293
2500,random,35,613
2500,reversed,35,376
2500,almost_sorted,35,179
2500,random,40,411
2500,reversed,40,216
2500,almost_sorted,40,116
2500,random,45,332
2500,reversed,45,214
2500,almost_sorted,45,85
2500,random,50,260
2500,reversed,50,221
2500,almost_sorted,50,112
2600,random,5,280
2600,reversed,5,134
2600,almost_sorted,5,132
2600,random,10,279
2600,reversed,10,136
2600,almost_sorted,10,120
2600,random,15,267
2600,reversed,15,140
2600,almost_sorted,15,117
2600,random,20,260
2600,reversed,20,163
2600,almost_sorted,20,110
2600,random,25,266
2600,reversed,25,167
2600,almost_sorted,25,103
2600,random,30,262
2600,reversed,30,184
2600,almost_sorted,30,103
2600,random,35,254
2600,reversed,35,170
2600,almost_sorted,35,180
2600,random,40,271
2600,reversed,40,186
2600,almost_sorted,40,97
2600,random,45,274
2600,reversed,45,224
2600,almost_sorted,45,89
2600,random,50,271
2600,reversed,50,226
2600,almost_sorted,50,90
2700,random,5,304
2700,reversed,5,356
2700,almost_sorted,5,328
2700,random,10,633
2700,reversed,10,338
2700,almost_sorted,10,293
2700,random,15,604
2700,reversed,15,274
2700,almost_sorted,15,121
2700,random,20,306
2700,reversed,20,147
2700,almost_sorted,20,124
2700,random,25,269
2700,reversed,25,410
2700,almost_sorted,25,238
2700,random,30,589
2700,reversed,30,372
2700,almost_sorted,30,202
2700,random,35,290
2700,reversed,35,175
2700,almost_sorted,35,107
2700,random,40,266
2700,reversed,40,174
2700,almost_sorted,40,106
2700,random,45,278
2700,reversed,45,243
2700,almost_sorted,45,93
2700,random,50,280
2700,reversed,50,252
2700,almost_sorted,50,93
2800,random,5,697
2800,reversed,5,332
2800,almost_sorted,5,297
2800,random,10,308
2800,reversed,10,145
2800,almost_sorted,10,141
2800,random,15,292
2800,reversed,15,154
2800,almost_sorted,15,128
2800,random,20,293
2800,reversed,20,195
2800,almost_sorted,20,127
2800,random,25,280
2800,reversed,25,185
2800,almost_sorted,25,111
2800,random,30,280
2800,reversed,30,188
2800,almost_sorted,30,111
2800,random,35,290
2800,reversed,35,449
2800,almost_sorted,35,247
2800,random,40,277
2800,reversed,40,186
2800,almost_sorted,40,114
2800,random,45,292
2800,reversed,45,252
2800,almost_sorted,45,97
2800,random,50,290
2800,reversed,50,256
2800,almost_sorted,50,97
2900,random,5,330
2900,reversed,5,153
2900,almost_sorted,5,159
2900,random,10,324
2900,reversed,10,152
2900,almost_sorted,10,149
2900,random,15,297
2900,reversed,15,164
2900,almost_sorted,15,134
2900,random,20,301
2900,reversed,20,160
2900,almost_sorted,20,131
2900,random,25,292
2900,reversed,25,196
2900,almost_sorted,25,114
2900,random,30,289
2900,reversed,30,197
2900,almost_sorted,30,114
2900,random,35,307
2900,reversed,35,194
2900,almost_sorted,35,124
2900,random,40,289
2900,reversed,40,191
2900,almost_sorted,40,115
2900,random,45,302
2900,reversed,45,241
2900,almost_sorted,45,105
2900,random,50,302
2900,reversed,50,268
2900,almost_sorted,50,99
3000,random,5,383
3000,reversed,5,431
3000,almost_sorted,5,370
3000,random,10,698
3000,reversed,10,435
3000,almost_sorted,10,442
3000,random,15,816
3000,reversed,15,430
3000,almost_sorted,15,332
3000,random,20,683
3000,reversed,20,361
3000,almost_sorted,20,241
3000,random,25,417
3000,reversed,25,234
3000,almost_sorted,25,121
3000,random,30,300
3000,reversed,30,221
3000,almost_sorted,30,119
3000,random,35,650
3000,reversed,35,412
3000,almost_sorted,35,205
3000,random,40,452
3000,reversed,40,269
3000,almost_sorted,40,153
