size,t5,t10,t20,t30,t50
500,0.019000,0.020000,0.025000,0.025000,0.034000
600,0.023000,0.026000,0.033000,0.027000,0.046000
700,0.027000,0.026000,0.029000,0.034000,0.048000
800,0.032000,0.033000,0.034000,0.042000,0.070000
900,0.038000,0.035000,0.040000,0.051000,0.059000
1000,0.069000,0.040000,0.048000,0.046000,0.072000
1100,0.046000,0.046000,0.053000,0.052000,0.068000
1200,0.050000,0.051000,0.059000,0.059000,0.078000
1300,0.055000,0.061000,0.063000,0.078000,0.089000
1400,0.060000,0.061000,0.062000,0.087000,0.101000
1500,0.075000,0.066000,0.068000,0.082000,0.115000
1600,0.069000,0.068000,0.073000,0.089000,0.124000
1700,0.073000,0.072000,0.080000,0.098000,0.116000
1800,0.079000,0.078000,0.098000,0.168000,0.107000
1900,0.084000,0.083000,0.094000,0.117000,0.135000
2000,0.089000,0.091000,0.112000,0.111000,0.144000
2100,0.093000,0.102000,0.106000,0.110000,0.145000
2200,0.097000,0.099000,0.126000,0.131000,0.145000
2300,0.105000,0.105000,0.121000,0.120000,0.156000
2400,0.107000,0.111000,0.127000,0.127000,0.166000
2500,0.114000,0.117000,0.138000,0.135000,0.176000
2600,0.114000,0.119000,0.135000,0.143000,0.221000
2700,0.122000,0.143000,0.126000,0.148000,0.236000
2800,0.128000,0.130000,0.132000,0.156000,0.211000
2900,0.139000,0.131000,0.137000,0.186000,0.259000
3000,0.138000,0.141000,0.144000,0.173000,0.233000
3100,0.145000,0.138000,0.164000,0.185000,0.249000
3200,0.148000,0.169000,0.197000,0.189000,0.263000
3300,0.152000,0.158000,0.167000,0.198000,0.205000
3400,0.158000,0.154000,0.188000,0.250000,0.207000
3500,0.162000,0.165000,0.178000,0.254000,0.214000
3600,0.166000,0.169000,0.199000,0.223000,0.223000
3700,0.180000,0.179000,0.194000,0.239000,0.276000
3800,0.179000,0.182000,0.197000,0.242000,0.243000
3900,0.182000,0.182000,0.205000,0.266000,0.292000
4000,0.187000,0.191000,0.209000,0.235000,0.265000
4100,0.190000,0.198000,0.222000,0.217000,0.270000
4200,0.206000,0.205000,0.224000,0.224000,0.301000
4300,0.204000,0.222000,0.230000,0.234000,0.296000
4400,0.205000,0.224000,0.237000,0.237000,0.302000
4500,0.216000,0.232000,0.279000,0.274000,0.317000
4600,0.278000,0.221000,0.250000,0.280000,0.321000
4700,0.224000,0.229000,0.293000,0.266000,0.399000
4800,0.231000,0.286000,0.268000,0.268000,0.348000
4900,0.235000,0.294000,0.271000,0.275000,0.361000
5000,0.244000,0.290000,0.289000,0.315000,0.365000
5100,0.250000,0.262000,0.291000,0.329000,0.383000
5200,0.251000,0.255000,0.301000,0.302000,0.444000
5300,0.263000,0.265000,0.306000,0.351000,0.408000
5400,0.267000,0.266000,0.286000,0.317000,0.419000
5500,0.270000,0.269000,0.282000,0.330000,0.433000
5600,0.279000,0.292000,0.290000,0.338000,0.450000
5700,0.332000,0.331000,0.316000,0.495000,0.633000
5800,0.356000,0.284000,0.297000,0.518000,0.570000
5900,0.291000,0.294000,0.331000,0.357000,0.553000
6000,0.306000,0.300000,0.312000,0.376000,0.486000
6100,0.300000,0.304000,0.318000,0.419000,0.507000
6200,0.314000,0.303000,0.323000,0.383000,0.513000
6300,0.314000,0.319000,0.330000,0.393000,0.533000
6400,0.317000,0.379000,0.346000,0.467000,0.540000
6500,0.322000,0.325000,0.346000,0.409000,0.487000
6600,0.327000,0.328000,0.378000,0.423000,0.419000
6700,0.336000,0.327000,0.376000,0.432000,0.429000
6800,0.597000,0.336000,0.365000,0.476000,0.438000
6900,0.347000,0.357000,0.402000,0.446000,0.466000
7000,0.347000,0.351000,0.387000,0.527000,0.513000
7100,0.393000,0.351000,0.390000,0.471000,0.492000
7200,0.362000,0.362000,0.648000,0.476000,0.490000
7300,0.368000,0.370000,0.432000,0.493000,0.492000
7400,0.370000,0.369000,0.417000,0.524000,0.492000
7500,0.376000,0.375000,0.416000,0.509000,0.589000
7600,0.379000,0.384000,0.440000,0.526000,0.513000
7700,0.399000,0.393000,0.439000,0.597000,0.570000
7800,0.386000,0.398000,0.446000,0.479000,0.534000
7900,0.395000,0.405000,0.472000,0.468000,0.553000
8000,0.399000,0.404000,0.483000,0.450000,0.551000
8100,0.405000,0.430000,0.464000,0.470000,0.562000
8200,0.414000,0.452000,0.529000,0.481000,0.570000
8300,0.431000,0.427000,0.477000,0.475000,0.585000
8400,0.426000,0.456000,0.483000,0.484000,0.593000
8500,0.437000,0.463000,0.484000,0.488000,0.612000
