size,ms
500,0.023000
600,0.028000
700,0.034000
800,0.040000
900,0.048000
1000,0.050000
1100,0.069000
1200,0.062000
1300,0.069000
1400,0.077000
1500,0.091000
1600,0.098000
1700,0.092000
1800,0.099000
1900,0.105000
2000,0.112000
2100,0.124000
2200,0.125000
2300,0.127000
2400,0.134000
2500,0.139000
2600,0.170000
2700,0.151000
2800,0.159000
2900,0.172000
3000,0.171000
3100,0.175000
3200,0.181000
3300,0.193000
3400,0.197000
3500,0.199000
3600,0.234000
3700,0.217000
3800,0.225000
3900,0.232000
4000,0.233000
4100,0.238000
4200,0.287000
4300,0.252000
4400,0.263000
4500,0.270000
4600,0.272000
4700,0.281000
4800,0.289000
4900,0.292000
5000,0.300000
5100,0.356000
5200,0.322000
5300,0.323000
5400,0.357000
5500,0.344000
5600,0.417000
5700,0.440000
5800,0.354000
5900,0.358000
6000,0.367000
6100,0.371000
6200,0.374000
6300,0.390000
6400,0.393000
6500,0.396000
6600,0.436000
6700,0.410000
6800,0.422000
6900,0.436000
7000,0.475000
7100,0.438000
7200,0.444000
7300,0.457000
7400,0.464000
7500,0.513000
7600,0.554000
7700,0.528000
7800,0.486000
7900,0.507000
8000,0.598000
8100,0.507000
8200,0.551000
8300,0.530000
8400,0.531000
8500,0.533000
8600,0.558000
8700,0.569000
8800,0.617000
8900,0.566000
9000,0.573000
9100,0.612000
9200,0.628000
9300,0.673000
9400,0.606000
9500,0.668000
9600,0.616000
9700,0.641000
9800,0.671000
9900,0.698000
10000,0.644000
10100,0.669000
10200,0.735000
10300,0.664000
10400,0.671000
10500,0.763000
10600,0.691000
10700,0.714000
10800,0.720000
10900,0.710000
11000,0.725000
11100,0.723000
11200,0.742000
11300,0.771000
11400,0.756000
11500,0.862000
11600,0.784000
11700,0.771000
11800,0.769000
11900,0.789000
12000,0.896000
12100,0.916000
12200,0.810000
12300,0.807000
12400,0.823000
12500,0.819000
12600,0.830000
12700,0.827000
12800,0.841000
12900,0.856000
13000,0.884000
13100,0.882000
13200,0.879000
13300,0.876000
13400,0.898000
13500,0.884000
13600,0.895000
13700,0.923000
13800,0.945000
13900,0.919000
14000,0.930000
14100,1.001000
14200,1.043000
14300,0.997000
14400,1.042000
14500,0.983000
14600,0.992000
14700,1.010000
14800,1.031000
14900,1.006000
15000,1.154000
15100,1.058000
15200,1.057000
15300,1.096000
15400,1.150000
15500,1.045000
15600,1.037000
15700,1.117000
15800,1.095000
15900,1.072000
16000,1.073000
16100,1.114000
16200,1.082000
16300,1.099000
16400,1.255000
16500,1.164000
16600,1.117000
16700,1.144000
16800,1.125000
16900,1.144000
17000,1.145000
17100,1.146000
17200,1.181000
17300,1.173000
17400,1.195000
17500,1.210000
17600,1.183000
17700,1.209000
17800,1.232000
17900,1.205000
18000,1.242000
18100,1.244000
18200,1.289000
18300,1.300000
18400,1.253000
18500,1.246000
18600,1.272000
18700,1.316000
18800,1.378000
18900,1.322000
19000,1.373000
19100,1.351000
19200,1.330000
19300,1.311000
19400,1.336000
19500,1.393000
19600,1.369000
19700,1.472000
19800,1.383000
19900,1.368000
20000,1.520000
20100,1.530000
20200,1.375000
20300,1.396000
20400,1.417000
20500,1.395000
20600,1.383000
20700,1.407000
20800,1.516000
20900,1.434000
21000,1.459000
21100,1.518000
21200,1.455000
21300,1.591000
21400,1.718000
21500,1.608000
21600,1.574000
21700,1.485000
21800,1.521000
21900,1.501000
22000,1.564000
22100,1.530000
22200,1.537000
22300,1.594000
22400,1.568000
22500,1.608000
22600,1.570000
22700,1.587000
22800,1.609000
22900,1.603000
23000,1.633000
23100,1.626000
23200,1.637000
23300,1.693000
23400,1.623000
23500,1.645000
23600,1.860000
23700,1.681000
23800,1.698000
23900,1.767000
24000,1.662000
24100,1.780000
24200,1.817000
24300,1.701000
24400,1.662000
24500,1.747000
24600,1.832000
24700,1.742000
24800,1.837000
24900,1.852000
25000,1.746000
25100,1.915000
25200,1.794000
25300,1.792000
25400,1.758000
25500,1.927000
25600,1.786000
25700,1.825000
25800,1.870000
25900,1.989000
