size,ms
500,0.037000
600,0.046000
700,0.063000
800,0.070000
900,0.077000
1000,0.121000
1100,0.099000
1200,0.109000
1300,0.122000
1400,0.136000
1500,0.141000
1600,0.160000
1700,0.165000
1800,0.179000
1900,0.188000
2000,0.200000
2100,0.211000
2200,0.222000
2300,0.234000
2400,0.248000
2500,0.256000
2600,0.266000
2700,0.279000
2800,0.295000
2900,0.299000
3000,0.317000
3100,0.325000
3200,0.339000
3300,0.350000
3400,0.365000
3500,0.375000
3600,0.388000
3700,0.401000
3800,0.416000
3900,0.429000
4000,0.439000
4100,0.444000
4200,0.458000
4300,0.486000
4400,0.494000
4500,0.495000
4600,0.514000
4700,0.527000
4800,0.544000
4900,0.559000
5000,0.564000
5100,0.572000
5200,0.584000
5300,0.600000
5400,0.694000
5500,0.644000
5600,0.663000
5700,0.783000
5800,0.681000
5900,0.692000
6000,0.689000
6100,0.749000
6200,0.711000
6300,0.737000
6400,0.740000
6500,0.754000
6600,0.767000
6700,0.780000
6800,0.868000
6900,0.805000
7000,0.825000
7100,0.838000
7200,0.841000
7300,0.872000
7400,0.886000
7500,0.889000
7600,0.904000
7700,0.919000
7800,0.918000
7900,0.939000
8000,0.960000
8100,0.954000
8200,0.975000
8300,1.005000
8400,1.005000
8500,1.009000
8600,1.035000
8700,1.051000
8800,1.063000
8900,1.077000
9000,1.083000
9100,1.092000
9200,1.105000
9300,1.206000
9400,1.155000
9500,1.157000
9600,1.169000
9700,1.194000
9800,1.197000
9900,1.208000
10000,1.357000
10100,1.239000
10200,1.255000
10300,1.250000
10400,1.273000
10500,1.330000
10600,1.356000
10700,1.321000
10800,1.345000
10900,1.363000
11000,1.373000
11100,1.388000
11200,1.417000
11300,1.406000
11400,1.411000
11500,1.425000
11600,1.432000
11700,1.556000
11800,1.491000
11900,1.490000
12000,1.581000
12100,1.689000
12200,1.522000
12300,1.532000
12400,1.560000
12500,1.560000
12600,1.605000
12700,1.609000
12800,1.672000
12900,1.637000
13000,1.658000
13100,1.664000
13200,1.685000
13300,1.691000
13400,1.704000
13500,1.799000
13600,1.730000
13700,1.744000
13800,1.739000
13900,1.736000
14000,1.797000
14100,1.770000
14200,1.797000
14300,1.865000
14400,1.865000
14500,1.934000
14600,1.851000
14700,1.883000
14800,1.873000
14900,1.947000
15000,1.951000
15100,2.002000
15200,2.025000
15300,1.973000
15400,1.973000
15500,2.005000
15600,2.007000
15700,2.031000
15800,2.087000
15900,2.122000
16000,2.082000
16100,2.102000
16200,2.075000
16300,2.174000
16400,2.149000
16500,2.114000
16600,2.202000
16700,2.220000
16800,2.145000
16900,2.192000
17000,2.250000
17100,2.214000
17200,2.227000
17300,2.282000
17400,2.261000
17500,2.268000
17600,2.312000
17700,2.321000
17800,2.473000
17900,2.358000
18000,2.417000
18100,2.377000
18200,2.444000
18300,2.364000
18400,2.377000
18500,2.406000
18600,2.428000
18700,2.435000
18800,2.448000
18900,2.519000
19000,2.459000
19100,2.503000
19200,2.581000
19300,2.498000
19400,2.655000
19500,2.534000
19600,2.563000
19700,2.568000
19800,2.597000
19900,2.667000
20000,2.633000
20100,2.630000
