size,type,time
500,random,107
500,reversed,60
500,almost_sorted,64
600,random,88
600,reversed,48
600,almost_sorted,56
700,random,75
700,reversed,36
700,almost_sorted,41
800,random,89
800,reversed,46
800,almost_sorted,51
900,random,95
900,reversed,55
900,almost_sorted,57
1000,random,131
1000,reversed,54
1000,almost_sorted,71
1100,random,118
1100,reversed,56
1100,almost_sorted,64
1200,random,132
1200,reversed,64
1200,almost_sorted,74
1300,random,268
1300,reversed,136
1300,almost_sorted,131
1400,random,158
1400,reversed,74
1400,almost_sorted,87
1500,random,243
1500,reversed,107
1500,almost_sorted,130
1600,random,438
1600,reversed,235
1600,almost_sorted,249
1700,random,190
1700,reversed,95
1700,almost_sorted,156
1800,random,235
1800,reversed,108
1800,almost_sorted,109
1900,random,544
1900,reversed,291
1900,almost_sorted,300
2000,random,234
2000,reversed,111
2000,almost_sorted,131
2100,random,551
2100,reversed,126
2100,almost_sorted,128
2200,random,256
2200,reversed,120
2200,almost_sorted,141
2300,random,623
2300,reversed,306
2300,almost_sorted,317
2400,random,300
2400,reversed,138
2400,almost_sorted,158
2500,random,299
2500,reversed,143
2500,almost_sorted,160
2600,random,352
2600,reversed,174
2600,almost_sorted,212
2700,random,340
2700,reversed,157
2700,almost_sorted,172
2800,random,344
2800,reversed,161
2800,almost_sorted,401
2900,random,359
2900,reversed,220
2900,almost_sorted,222
3000,random,374
3000,reversed,189
3000,almost_sorted,196
3100,random,940
3100,reversed,414
3100,almost_sorted,462
3200,random,1236
3200,reversed,426
3200,almost_sorted,261
3300,random,413
3300,reversed,196
3300,almost_sorted,259
3400,random,421
3400,reversed,215
3400,almost_sorted,225
3500,random,641
3500,reversed,534
3500,almost_sorted,242
3600,random,453
3600,reversed,258
3600,almost_sorted,238
3700,random,467
3700,reversed,260
3700,almost_sorted,242
3800,random,482
3800,reversed,249
3800,almost_sorted,691
3900,random,910
3900,reversed,482
3900,almost_sorted,616
4000,random,1134
4000,reversed,557
4000,almost_sorted,600
4100,random,1145
4100,reversed,581
4100,almost_sorted,708
4200,random,623
4200,reversed,505
4200,almost_sorted,475
4300,random,943
4300,reversed,316
4300,almost_sorted,295
4400,random,582
4400,reversed,283
4400,almost_sorted,305
4500,random,589
4500,reversed,281
4500,almost_sorted,333
4600,random,597
4600,reversed,280
4600,almost_sorted,314
4700,random,1375
4700,reversed,745
4700,almost_sorted,650
4800,random,631
4800,reversed,289
4800,almost_sorted,352
4900,random,692
4900,reversed,314
4900,almost_sorted,380
5000,random,693
5000,reversed,299
5000,almost_sorted,388
5100,random,781
5100,reversed,330
5100,almost_sorted,351
5200,random,733
5200,reversed,313
5200,almost_sorted,391
5300,random,714
5300,reversed,320
5300,almost_sorted,371
5400,random,710
5400,reversed,345
5400,almost_sorted,381
5500,random,758
5500,reversed,371
5500,almost_sorted,461
5600,random,1685
5600,reversed,744
5600,almost_sorted,718
5700,random,757
5700,reversed,388
5700,almost_sorted,399
5800,random,1187
5800,reversed,365
5800,almost_sorted,407
5900,random,1787
5900,reversed,660
5900,almost_sorted,595
6000,random,833
6000,reversed,387
6000,almost_sorted,485
6100,random,1834
6100,reversed,883
6100,almost_sorted,1039
6200,random,847
6200,reversed,413
6200,almost_sorted,444
6300,random,889
6300,reversed,407
6300,almost_sorted,481
6400,random,898
6400,reversed,405
6400,almost_sorted,451
6500,random,1932
6500,reversed,755
6500,almost_sorted,620
6600,random,995
6600,reversed,493
6600,almost_sorted,1046
6700,random,1111
6700,reversed,454
6700,almost_sorted,493
6800,random,924
6800,reversed,439
6800,almost_sorted,993
6900,random,991
6900,reversed,495
6900,almost_sorted,564
7000,random,1060
7000,reversed,456
7000,almost_sorted,572
7100,random,964
7100,reversed,463
7100,almost_sorted,534
7200,random,988
7200,reversed,466
7200,almost_sorted,526
7300,random,1038
7300,reversed,479
7300,almost_sorted,519
7400,random,1021
7400,reversed,500
7400,almost_sorted,534
7500,random,1132
