size,ms
500,0.021000
600,0.026000
700,0.032000
800,0.038000
900,0.044000
1000,0.049000
1100,0.077000
1200,0.057000
1300,0.062000
1400,0.069000
1500,0.087000
1600,0.090000
1700,0.084000
1800,0.094000
1900,0.095000
2000,0.100000
2100,0.105000
2200,0.110000
2300,0.120000
2400,0.125000
2500,0.128000
2600,0.137000
2700,0.140000
2800,0.143000
2900,0.164000
3000,0.155000
3100,0.161000
3200,0.172000
3300,0.183000
3400,0.184000
3500,0.185000
3600,0.220000
3700,0.194000
3800,0.214000
3900,0.207000
4000,0.221000
4100,0.212000
4200,0.218000
4300,0.225000
4400,0.230000
4500,0.255000
4600,0.248000
4700,0.253000
4800,0.261000
4900,0.304000
5000,0.272000
5100,0.291000
5200,0.302000
5300,0.289000
5400,0.313000
5500,0.307000
5600,0.340000
5700,0.404000
5800,0.318000
5900,0.333000
6000,0.390000
6100,0.419000
6200,0.343000
6300,0.357000
6400,0.358000
6500,0.457000
6600,0.366000
6700,0.383000
6800,0.428000
6900,0.380000
7000,0.387000
7100,0.395000
7200,0.405000
7300,0.420000
7400,0.430000
7500,0.421000
7600,0.433000
7700,0.439000
7800,0.439000
7900,0.454000
8000,0.452000
8100,0.485000
8200,0.463000
8300,0.466000
8400,0.474000
8500,0.478000
8600,0.505000
8700,0.501000
8800,0.505000
8900,0.537000
9000,0.525000
9100,0.530000
9200,0.558000
9300,0.601000
9400,0.544000
9500,0.586000
9600,0.658000
9700,0.560000
9800,0.610000
9900,0.632000
10000,0.583000
10100,0.594000
10200,0.690000
10300,0.598000
10400,0.675000
10500,0.617000
10600,0.611000
10700,0.625000
10800,0.680000
10900,0.640000
11000,0.646000
11100,0.641000
11200,0.656000
11300,0.678000
11400,0.666000
11500,0.686000
11600,0.676000
11700,0.745000
11800,0.696000
11900,0.837000
12000,0.702000
12100,0.796000
12200,0.739000
12300,0.724000
12400,0.755000
12500,0.758000
12600,0.834000
12700,0.794000
12800,0.819000
12900,0.756000
13000,0.978000
13100,0.800000
13200,0.777000
13300,0.796000
13400,0.800000
13500,0.883000
13600,0.802000
13700,0.800000
13800,0.814000
13900,0.960000
14000,0.824000
14100,0.825000
14200,0.937000
14300,0.838000
14400,0.851000
14500,0.888000
14600,0.876000
14700,0.881000
14800,0.900000
14900,1.023000
15000,0.932000
15100,0.893000
15200,0.912000
15300,1.008000
15400,0.934000
15500,0.943000
15600,1.083000
15700,1.025000
15800,0.953000
15900,0.976000
16000,0.968000
16100,0.993000
16200,1.013000
16300,1.106000
16400,1.017000
16500,1.070000
16600,1.011000
16700,1.029000
16800,0.996000
16900,1.148000
17000,1.072000
17100,1.041000
17200,1.029000
17300,1.122000
17400,1.049000
17500,1.218000
17600,1.136000
17700,1.126000
17800,1.080000
17900,1.072000
18000,1.090000
18100,1.198000
18200,1.107000
18300,1.123000
18400,1.131000
18500,1.183000
18600,1.148000
18700,1.200000
18800,1.184000
18900,1.203000
19000,1.318000
19100,1.172000
19200,1.325000
19300,1.222000
19400,1.268000
19500,1.254000
19600,1.360000
19700,1.208000
19800,1.314000
19900,1.245000
20000,1.252000
20100,1.276000
20200,1.241000
20300,1.253000
20400,1.252000
20500,1.253000
20600,1.269000
20700,1.355000
20800,1.277000
20900,1.281000
21000,1.461000
21100,1.355000
21200,1.349000
21300,1.430000
21400,2.101000
21500,1.395000
21600,1.362000
21700,1.408000
21800,1.366000
21900,1.371000
22000,1.363000
22100,1.360000
22200,1.453000
22300,1.460000
22400,1.469000
22500,1.439000
22600,1.417000
22700,1.485000
22800,1.499000
22900,1.424000
23000,1.497000
23100,1.478000
23200,1.505000
23300,1.491000
23400,1.728000
23500,1.494000
23600,1.523000
23700,1.504000
23800,1.492000
23900,1.483000
24000,1.489000
24100,1.508000
24200,1.550000
24300,1.531000
24400,1.503000
24500,1.506000
24600,1.615000
24700,1.733000
24800,1.651000
24900,1.800000
25000,1.558000
25100,1.618000
25200,1.765000
25300,1.631000
25400,1.605000
25500,1.764000
25600,1.630000
25700,1.665000
25800,1.678000
25900,1.645000
26000,1.701000
26100,1.669000
26200,1.648000
26300,1.783000
26400,1.699000
26500,1.697000
26600,1.884000
26700,1.692000
26800,1.700000
26900,1.869000
27000,1.739000
27100,1.776000
27200,1.782000
27300,1.769000
27400,2.031000
27500,1.767000
27600,1.734000
27700,1.932000
27800,1.796000
27900,2.606000
28000,1.799000
28100,1.783000
28200,1.918000
28300,1.916000
28400,1.805000
28500,1.788000
28600,2.055000
28700,1.806000
28800,1.852000
28900,1.826000
29000,1.890000
29100,1.840000
29200,1.903000
29300,2.074000
29400,1.909000
29500,1.888000
29600,1.902000
29700,1.951000
29800,1.941000
29900,1.994000
30000,1.889000
30100,2.104000
30200,1.888000
30300,1.924000
30400,1.914000
30500,2.018000
30600,2.017000
30700,2.027000
30800,2.098000
30900,2.036000
31000,1.963000
31100,1.962000
31200,2.046000
31300,1.995000
31400,1.972000
31500,2.026000
31600,2.055000
31700,2.436000
31800,2.074000
31900,2.095000
32000,2.193000
32100,2.150000
32200,2.102000
32300,2.079000
32400,2.130000
32500,2.295000
32600,2.122000
32700,2.333000
32800,2.213000
32900,2.077000
33000,2.188000
33100,2.175000
33200,2.411000
33300,2.282000
33400,2.261000
33500,2.163000
33600,2.315000
33700,2.185000
33800,2.210000
33900,2.324000
34000,2.236000
34100,2.163000
34200,2.308000
34300,2.272000
34400,2.276000
34500,2.341000
34600,2.501000
34700,2.227000
34800,2.305000
34900,2.229000
35000,2.423000
35100,2.368000
35200,2.282000
35300,2.288000
35400,2.261000
35500,2.304000
35600,2.324000
35700,2.288000
35800,3.417000
35900,2.507000
36000,2.570000
36100,2.399000
36200,2.406000
36300,2.328000
36400,2.450000
36500,2.579000
36600,2.807000
36700,2.744000
36800,2.402000
36900,2.908000
37000,2.433000
37100,2.602000
37200,2.547000
37300,2.453000
37400,2.586000
37500,3.579000
37600,2.624000
37700,2.585000
37800,2.530000
37900,3.695000
38000,2.504000
38100,2.655000
38200,2.600000
38300,2.484000
38400,2.637000
38500,2.526000
38600,2.821000
38700,2.782000
38800,2.619000
38900,2.942000
39000,2.588000
39100,3.658000
39200,2.582000
39300,2.708000
39400,2.563000
39500,2.874000
39600,2.589000
39700,2.683000
39800,2.811000
39900,2.686000
40000,2.719000
40100,2.677000
40200,2.779000
40300,2.653000
40400,2.733000
40500,3.013000
40600,2.687000
40700,2.758000
40800,2.765000
40900,2.643000
41000,2.717000
41100,2.743000
41200,2.778000
41300,2.742000
41400,2.713000
41500,2.799000
41600,2.766000
41700,2.838000
41800,2.843000
41900,2.728000
42000,2.733000
42100,2.829000
42200,2.832000
42300,2.934000
42400,2.876000
42500,3.026000
42600,2.857000
42700,3.099000
42800,2.816000
42900,3.153000
43000,3.007000
43100,2.943000
43200,3.015000
43300,2.902000
43400,3.019000
43500,3.128000
43600,2.891000
43700,3.104000
43800,3.198000
43900,2.904000
44000,2.968000
44100,2.997000
44200,3.033000
44300,3.037000
44400,3.060000
44500,2.944000
44600,3.115000
44700,2.925000
44800,3.071000
44900,3.036000
45000,3.109000
45100,3.215000
45200,3.192000
45300,3.085000
45400,2.999000
45500,3.257000
45600,3.190000
45700,3.148000
45800,3.126000
45900,3.204000
46000,3.050000
46100,3.124000
46200,3.385000
46300,3.093000
46400,3.194000
46500,3.377000
46600,3.194000
46700,3.246000
46800,3.193000
46900,3.285000
47000,3.415000
47100,3.168000
47200,3.147000
47300,3.116000
47400,3.187000
47500,3.169000
47600,3.269000
47700,3.353000
47800,3.356000
47900,3.268000
48000,3.202000
48100,3.401000
48200,3.186000
48300,3.285000
48400,3.367000
48500,3.309000
48600,3.469000
48700,3.445000
48800,3.225000
48900,3.309000
49000,3.373000
49100,3.339000
49200,3.475000
49300,3.446000
49400,3.299000
49500,3.368000
49600,3.393000
49700,3.460000
49800,3.480000
49900,3.340000
50000,3.297000
50100,3.494000
50200,3.485000
50300,3.466000
50400,3.808000
50500,3.397000
50600,3.368000
50700,3.418000
50800,3.433000
50900,3.443000
51000,5.152000
51100,3.486000
51200,3.499000
51300,3.709000
51400,3.419000
51500,3.420000
51600,3.510000
51700,3.575000
51800,3.425000
